Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,12,1992,7,7,hru07           ,619.,.879E+05,.248E+07,.890E+08
31,12,1992,8,8,hru08           ,615.,.673E+06,18.7,.614E+08
31,12,1992,9,9,hru09           ,719.,.317E+06,21.8,.107E+09
31,12,1992,10,10,hru10           ,414.,.841E+06,.340E+06,.591E+08
31,12,1992,11,11,hru11           ,79.8,.523E+04,.393E+05,.113E+08
31,12,1992,12,12,hru12           ,132.,.190E+05,.217E+06,.189E+08
31,12,1992,13,13,hru13           ,35.1,.108E+06,1.08,.583E+07
31,1,1993,1,1,hru01           ,5.40,.298E+04,877.,.101E+07
31,1,1993,2,2,hru02           ,3.43,930.,.137E+05,.693E+06
31,1,1993,3,3,hru03           ,968.,.548E+06,.197E+07,.181E+09
31,1,1993,4,4,hru04           ,905.,.592E+05,.340E+06,.178E+09
31,1,1993,5,5,hru05           ,.209E+04,.362E+08,.186E+07,.177E+09
31,1,1993,6,6,hru06           ,536.,.221E+08,.300E+04,.420E+08
31,1,1993,7,7,hru07           ,619.,.762E+05,.345E+07,.122E+09
31,1,1993,8,8,hru08           ,615.,.118E+08,.528E+06,.518E+08
31,1,1993,9,9,hru09           ,.143E+04,.702E+07,43.3,.115E+09
31,1,1993,10,10,hru10           ,3.58,.441E+04,.891E+04,.719E+06
31,1,1993,11,11,hru11           ,9.78,474.,.157E+05,.196E+07
31,1,1993,12,12,hru12           ,2.12,.126E+04,.108E+05,.424E+06
31,1,1993,13,13,hru13           ,.394E+04,.442E+08,.761E+04,.796E+09
28,2,1993,1,1,hru01           ,5.40,.771,.345E+04,.854E+06
28,2,1993,2,2,hru02           ,3.43,.110E+04,.760E+04,.611E+06
28,2,1993,3,3,hru03           ,968.,.300E+06,.215E+07,.164E+09
28,2,1993,4,4,hru04           ,905.,.925E+05,.255E+07,.157E+09
28,2,1993,5,5,hru05           ,.209E+04,.476E+08,.439E+08,.155E+09
28,2,1993,6,6,hru06           ,536.,.238E+08,.378E+06,.367E+08
28,2,1993,7,7,hru07           ,619.,.562E+05,.163E+07,.108E+09
28,2,1993,8,8,hru08           ,615.,.154E+08,.121E+08,.454E+08
28,2,1993,9,9,hru09           ,.143E+04,.226E+08,.273E+08,.101E+09
28,2,1993,10,10,hru10           ,3.58,.233E+04,.310E+04,.597E+06
28,2,1993,11,11,hru11           ,9.78,110.,.834E+04,.168E+07
28,2,1993,12,12,hru12           ,2.12,193.,.195E+04,.351E+06
28,2,1993,13,13,hru13           ,.394E+04,.598E+07,110.,.646E+09
31,3,1993,1,1,hru01           ,5.40,303.,.310E+05,.468E+06
31,3,1993,2,2,hru02           ,3.43,95.6,.228E+05,.174E+06
31,3,1993,3,3,hru03           ,968.,.210E+06,.652E+07,.123E+09
31,3,1993,4,4,hru04           ,905.,26.6,.228E+06,.634E+08
31,3,1993,5,5,hru05           ,.209E+04,.360E+08,.359E+07,.163E+09
31,3,1993,6,6,hru06           ,536.,.179E+08,16.6,.378E+08
31,3,1993,7,7,hru07           ,619.,16.4,.120E+07,.638E+08
31,3,1993,8,8,hru08           ,615.,.114E+08,.966E+06,.478E+08
31,3,1993,9,9,hru09           ,.143E+04,.316E+08,.314E+07,.104E+09
31,3,1993,10,10,hru10           ,3.58,155.,.111,.239E+06
31,3,1993,11,11,hru11           ,9.78,9.12,.292,.663E+06
31,3,1993,12,12,hru12           ,2.12,38.3,1.14,.143E+06
31,3,1993,13,13,hru13           ,.394E+04,.238E+06,121.,.266E+09
30,4,1993,1,1,hru01           ,5.40,95.5,.293E+05,.268E+06
30,4,1993,2,2,hru02           ,3.43,6.18,.103,.100E+06
30,4,1993,3,3,hru03           ,968.,.391E+05,.169E+07,.763E+08
30,4,1993,4,4,hru04           ,905.,.00,.147E+06,.236E+08
30,4,1993,5,5,hru05           ,.209E+04,.150E+08,61.6,.158E+09
30,4,1993,6,6,hru06           ,536.,.204E+07,16.0,.364E+08
30,4,1993,7,7,hru07           ,619.,.00,.479E+05,.153E+08
30,4,1993,8,8,hru08           ,615.,.449E+07,18.1,.464E+08
30,4,1993,9,9,hru09           ,.143E+04,.181E+08,.511E+06,.100E+09
30,4,1993,10,10,hru10           ,3.58,.00,.107,.623E+05
30,4,1993,11,11,hru11           ,9.78,.00,.283,.170E+06
30,4,1993,12,12,hru12           ,2.12,2.05,.631E-01,.368E+05
30,4,1993,13,13,hru13           ,.394E+04,.00,117.,.108E+09
31,5,1993,1,1,hru01           ,5.40,.183,.167,.272E+05
31,5,1993,2,2,hru02           ,3.43,.00,.106,.305
31,5,1993,3,3,hru03           ,968.,65.6,30.0,.00
31,5,1993,4,4,hru04           ,905.,.00,28.0,.00
31,5,1993,5,5,hru05           ,.209E+04,.104E+07,63.7,.143E+09
31,5,1993,6,6,hru06           ,536.,532.,16.6,.333E+08
31,5,1993,7,7,hru07           ,619.,.00,19.2,.00
31,5,1993,8,8,hru08           ,615.,.249E+06,18.7,.420E+08
31,5,1993,9,9,hru09           ,.143E+04,.536E+07,43.3,.917E+08
31,5,1993,10,10,hru10           ,3.58,.00,.111,.103E+05
31,5,1993,11,11,hru11           ,9.78,.00,.292,.281E+05
31,5,1993,12,12,hru12           ,2.12,.00,.652E-01,.621E+04
31,5,1993,13,13,hru13           ,.394E+04,.00,121.,371.
30,6,1993,1,1,hru01           ,5.40,.00,.162,.464
30,6,1993,2,2,hru02           ,3.43,.00,.103,.295
30,6,1993,3,3,hru03           ,968.,.00,29.0,.00
30,6,1993,4,4,hru04           ,905.,.00,27.1,.00
30,6,1993,5,5,hru05           ,.209E+04,19.7,61.6,.822E+08
30,6,1993,6,6,hru06           ,536.,.00,16.0,.122E+08
30,6,1993,7,7,hru07           ,619.,.00,18.6,.00
30,6,1993,8,8,hru08           ,615.,3.64,18.1,.226E+08
30,6,1993,9,9,hru09           ,.143E+04,.224E+04,41.9,.723E+08
30,6,1993,10,10,hru10           ,3.58,.00,.107,.307
30,6,1993,11,11,hru11           ,9.78,.00,.283,.839
30,6,1993,12,12,hru12           ,2.12,.00,.631E-01,.182
30,6,1993,13,13,hru13           ,.394E+04,.00,117.,359.
31,7,1993,1,1,hru01           ,5.40,.00,.167,.322E+05
31,7,1993,2,2,hru02           ,3.43,.00,.106,.305
31,7,1993,3,3,hru03           ,968.,.00,30.0,.00
31,7,1993,4,4,hru04           ,905.,.00,28.0,.00
31,7,1993,5,5,hru05           ,.209E+04,.00,63.7,197.
31,7,1993,6,6,hru06           ,536.,.00,16.6,50.5
31,7,1993,7,7,hru07           ,619.,.00,19.2,.00
31,7,1993,8,8,hru08           ,615.,.00,18.7,57.9
31,7,1993,9,9,hru09           ,.143E+04,.00,43.3,.481E+08
31,7,1993,10,10,hru10           ,3.58,.00,.111,.317
31,7,1993,11,11,hru11           ,9.78,.00,.292,.867
31,7,1993,12,12,hru12           ,2.12,.00,.652E-01,.188
31,7,1993,13,13,hru13           ,.394E+04,.00,121.,371.
31,8,1993,1,1,hru01           ,5.40,.00,.167,.479
31,8,1993,2,2,hru02           ,3.43,.00,.106,.884E-01
31,8,1993,3,3,hru03           ,968.,.00,30.0,.00
31,8,1993,4,4,hru04           ,905.,.00,28.0,.00
31,8,1993,5,5,hru05           ,.209E+04,.00,63.7,197.
31,8,1993,6,6,hru06           ,536.,.00,16.6,50.4
31,8,1993,7,7,hru07           ,619.,.00,19.2,.00
31,8,1993,8,8,hru08           ,615.,.00,18.7,57.8
31,8,1993,9,9,hru09           ,.143E+04,.00,43.3,134.
31,8,1993,10,10,hru10           ,3.58,.00,.111,.317
31,8,1993,11,11,hru11           ,9.78,.00,.292,.867
31,8,1993,12,12,hru12           ,2.12,.00,.652E-01,.188
31,8,1993,13,13,hru13           ,.394E+04,.00,121.,371.
30,9,1993,1,1,hru01           ,5.40,.00,.162,.377E+05
30,9,1993,2,2,hru02           ,3.43,.00,.103,.181E+05
30,9,1993,3,3,hru03           ,968.,.00,29.0,.835E+07
30,9,1993,4,4,hru04           ,905.,.00,27.1,.584E+07
30,9,1993,5,5,hru05           ,.209E+04,.00,61.6,.110E+08
30,9,1993,6,6,hru06           ,536.,.00,16.0,48.5
30,9,1993,7,7,hru07           ,619.,.00,18.6,.347E+07
30,9,1993,8,8,hru08           ,615.,.00,18.1,.324E+07
30,9,1993,9,9,hru09           ,.143E+04,.00,41.9,.992E+07
30,9,1993,10,10,hru10           ,3.58,.00,.107,.307
30,9,1993,11,11,hru11           ,9.78,.00,.283,.839
30,9,1993,12,12,hru12           ,2.12,.00,.631E-01,.182
30,9,1993,13,13,hru13           ,.394E+04,.00,117.,359.
31,10,1993,1,1,hru01           ,5.40,.00,.167,.132E+06
31,10,1993,2,2,hru02           ,3.43,.00,.106,.905E+05
31,10,1993,3,3,hru03           ,968.,.00,30.0,.257E+08
31,10,1993,4,4,hru04           ,905.,.00,28.0,.262E+08
31,10,1993,5,5,hru05           ,.209E+04,.00,63.7,.552E+08
31,10,1993,6,6,hru06           ,536.,.00,16.6,.923E+07
31,10,1993,7,7,hru07           ,619.,.00,19.2,.115E+08
31,10,1993,8,8,hru08           ,615.,.00,18.7,.162E+08
31,10,1993,9,9,hru09           ,.143E+04,.00,43.3,.267E+08
31,10,1993,10,10,hru10           ,3.58,.00,.111,.429E+05
31,10,1993,11,11,hru11           ,9.78,.00,.292,.117E+06
31,10,1993,12,12,hru12           ,2.12,.00,.652E-01,.254E+05
31,10,1993,13,13,hru13           ,.394E+04,.00,121.,.357E+08
30,11,1993,1,1,hru01           ,5.40,106.,.169E+04,.545E+06
30,11,1993,2,2,hru02           ,3.43,462.,.376E+04,.374E+06
30,11,1993,3,3,hru03           ,968.,.291E+05,.402E+06,.869E+08
30,11,1993,4,4,hru04           ,905.,.00,.215E+07,.107E+09
30,11,1993,5,5,hru05           ,.209E+04,.866E+06,61.6,.155E+09
30,11,1993,6,6,hru06           ,536.,.435E+06,16.0,.363E+08
30,11,1993,7,7,hru07           ,619.,.266E+04,.134E+06,.692E+08
30,11,1993,8,8,hru08           ,615.,.285E+06,18.1,.454E+08
30,11,1993,9,9,hru09           ,.143E+04,.668E+06,41.9,.995E+08
30,11,1993,10,10,hru10           ,3.58,929.,.335E+04,.356E+06
30,11,1993,11,11,hru11           ,9.78,19.3,.881E+04,.970E+06
30,11,1993,12,12,hru12           ,2.12,73.0,.210E+04,.211E+06
30,11,1993,13,13,hru13           ,.394E+04,.291E+07,117.,.393E+09
31,12,1993,1,1,hru01           ,5.40,703.,.767,.738E+06
31,12,1993,2,2,hru02           ,3.43,790.,.225E+04,.602E+06
31,12,1993,3,3,hru03           ,968.,.198E+06,30.0,.146E+09
