 u_sabi                    SWAT+ Sep 8  2020    MODULAR Rev 2020.60.5                                     
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         aqu_in ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm 
182,6,30,1992,7,7,cha07           ,.686E-04,.00,.686E-04,.219E-02,.104E-06,.522E-07,.522E-07,.00,.522E-07,.00,.00,.00,237.,4.23,.234E-02,.00,.00,.00,.300E-04,.00,.300E-04
182,6,30,1992,8,8,cha08           ,.697E-05,.00,.697E-05,.223E-03,.227E-07,.113E-07,.113E-07,.00,.113E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.294E-04,.00,.294E-04
182,6,30,1992,9,9,cha09           ,.128E-03,.00,.128E-03,.409E-02,.301E-06,.151E-06,.151E-06,.00,.151E-06,.00,.00,.00,345.,5.45,.391E-02,.00,.00,.00,.298E-04,.00,.298E-04
182,6,30,1992,10,10,cha10           ,.119E-03,.00,.119E-03,.382E-02,.258E-06,.129E-06,.129E-06,.00,.129E-06,.00,.00,.00,331.,5.28,.234E-02,.00,.00,.00,.298E-04,.00,.298E-04
182,6,30,1992,11,11,cha11           ,.764E-04,.00,.764E-04,.245E-02,.156E-06,.780E-07,.780E-07,.00,.780E-07,.00,.00,.00,253.,4.41,.150E-02,.00,.00,.00,.299E-04,.00,.299E-04
182,6,30,1992,12,12,cha12           ,.414E-04,.00,.414E-04,.133E-02,.754E-07,.377E-07,.377E-07,.00,.377E-07,.00,.00,.00,176.,3.48,.448E-02,.00,.00,.00,.297E-04,.00,.297E-04
182,6,30,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.226E-07,.113E-07,.113E-07,.00,.113E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.293E-04,.00,.293E-04
213,7,31,1992,1,1,cha01           ,.112E-04,.00,.112E-04,.358E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,2,2,cha02           ,.215E-04,.00,.215E-04,.687E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,118.,2.71,.554E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,3,3,cha03           ,.105E-04,.00,.105E-04,.335E-03,.274E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,4,4,cha04           ,.716E-05,.00,.716E-05,.229E-03,.275E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,5,5,cha05           ,.389E-04,.00,.389E-04,.124E-02,.658E-07,.329E-07,.329E-07,.00,.329E-07,.00,.00,.00,168.,3.42,.653E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,6,6,cha06           ,.249E-04,.00,.249E-04,.797E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,129.,2.84,.598E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,7,7,cha07           ,.686E-04,.00,.686E-04,.219E-02,.108E-06,.540E-07,.540E-07,.00,.540E-07,.00,.00,.00,237.,4.23,.234E-02,.00,.00,.00,.310E-04,.00,.310E-04
213,7,31,1992,8,8,cha08           ,.697E-05,.00,.697E-05,.223E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.304E-04,.00,.304E-04
213,7,31,1992,9,9,cha09           ,.128E-03,.00,.128E-03,.409E-02,.311E-06,.156E-06,.156E-06,.00,.156E-06,.00,.00,.00,345.,5.45,.391E-02,.00,.00,.00,.308E-04,.00,.308E-04
213,7,31,1992,10,10,cha10           ,.119E-03,.00,.119E-03,.382E-02,.267E-06,.134E-06,.134E-06,.00,.134E-06,.00,.00,.00,331.,5.28,.234E-02,.00,.00,.00,.308E-04,.00,.308E-04
213,7,31,1992,11,11,cha11           ,.764E-04,.00,.764E-04,.245E-02,.161E-06,.806E-07,.806E-07,.00,.806E-07,.00,.00,.00,253.,4.41,.150E-02,.00,.00,.00,.309E-04,.00,.309E-04
213,7,31,1992,12,12,cha12           ,.414E-04,.00,.414E-04,.133E-02,.779E-07,.389E-07,.389E-07,.00,.389E-07,.00,.00,.00,176.,3.48,.448E-02,.00,.00,.00,.307E-04,.00,.307E-04
213,7,31,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.303E-04,.00,.303E-04
244,8,31,1992,1,1,cha01           ,.112E-04,.00,.112E-04,.358E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,2,2,cha02           ,.215E-04,.00,.215E-04,.687E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,118.,2.71,.554E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,3,3,cha03           ,.105E-04,.00,.105E-04,.335E-03,.274E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,4,4,cha04           ,.716E-05,.00,.716E-05,.229E-03,.275E-07,.137E-07,.137E-07,.00,.137E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,5,5,cha05           ,.389E-04,.00,.389E-04,.124E-02,.658E-07,.329E-07,.329E-07,.00,.329E-07,.00,.00,.00,168.,3.42,.653E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,6,6,cha06           ,.249E-04,.00,.249E-04,.797E-03,.231E-07,.116E-07,.116E-07,.00,.116E-07,.00,.00,.00,129.,2.84,.598E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,7,7,cha07           ,.686E-04,.00,.686E-04,.219E-02,.108E-06,.540E-07,.540E-07,.00,.540E-07,.00,.00,.00,237.,4.23,.234E-02,.00,.00,.00,.310E-04,.00,.310E-04
244,8,31,1992,8,8,cha08           ,.697E-05,.00,.697E-05,.223E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.304E-04,.00,.304E-04
244,8,31,1992,9,9,cha09           ,.128E-03,.00,.128E-03,.409E-02,.311E-06,.156E-06,.156E-06,.00,.156E-06,.00,.00,.00,345.,5.45,.391E-02,.00,.00,.00,.308E-04,.00,.308E-04
244,8,31,1992,10,10,cha10           ,.119E-03,.00,.119E-03,.382E-02,.267E-06,.134E-06,.134E-06,.00,.134E-06,.00,.00,.00,331.,5.28,.234E-02,.00,.00,.00,.308E-04,.00,.308E-04
244,8,31,1992,11,11,cha11           ,.764E-04,.00,.764E-04,.245E-02,.161E-06,.806E-07,.806E-07,.00,.806E-07,.00,.00,.00,253.,4.41,.150E-02,.00,.00,.00,.309E-04,.00,.309E-04
244,8,31,1992,12,12,cha12           ,.414E-04,.00,.414E-04,.133E-02,.779E-07,.389E-07,.389E-07,.00,.389E-07,.00,.00,.00,176.,3.48,.448E-02,.00,.00,.00,.307E-04,.00,.307E-04
244,8,31,1992,13,13,cha13           ,.813E-05,.00,.813E-05,.260E-03,.234E-07,.117E-07,.117E-07,.00,.117E-07,.00,.00,.00,66.8,1.81,.419E-02,.00,.00,.00,.303E-04,.00,.303E-04
274,9,30,1992,1,1,cha01           ,.112E-04,.00,.112E-04,.358E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,79.8,2.08,.824E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,2,2,cha02           ,.215E-04,.00,.215E-04,.687E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,118.,2.71,.554E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,3,3,cha03           ,.105E-04,.00,.105E-04,.335E-03,.265E-07,.132E-07,.132E-07,.00,.132E-07,.00,.00,.00,76.7,2.00,.246E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,4,4,cha04           ,.716E-05,.00,.716E-05,.229E-03,.266E-07,.133E-07,.133E-07,.00,.133E-07,.00,.00,.00,61.1,1.75,.406E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,5,5,cha05           ,.389E-04,.00,.389E-04,.124E-02,.637E-07,.318E-07,.318E-07,.00,.318E-07,.00,.00,.00,168.,3.42,.653E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,6,6,cha06           ,.249E-04,.00,.249E-04,.797E-03,.224E-07,.112E-07,.112E-07,.00,.112E-07,.00,.00,.00,129.,2.84,.598E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,7,7,cha07           ,.686E-04,.00,.686E-04,.219E-02,.104E-06,.522E-07,.522E-07,.00,.522E-07,.00,.00,.00,237.,4.23,.234E-02,.00,.00,.00,.300E-04,.00,.300E-04
274,9,30,1992,8,8,cha08           ,.697E-05,.00,.697E-05,.223E-03,.227E-07,.113E-07,.113E-07,.00,.113E-07,.00,.00,.00,60.8,1.70,.279E-02,.00,.00,.00,.294E-04,.00,.294E-04
274,9,30,1992,9,9,cha09           ,.128E-03,.00,.128E-03,.409E-02,.301E-06,.151E-06,.151E-06,.00,.151E-06,.00,.00,.00,345.,5.45,.391E-02,.00,.00,.00,.298E-04,.00,.298E-04
274,9,30,1992,10,10,cha10           ,.119E-03,.00,.119E-03,.382E-02,.258E-06,.129E-06,.129E-06,.00,.129E-06,.00,.00,.00,331.,5.28,.234E-02,.00,.00,.00,.298E-04,.00,.298E-04
274,9,30,1992,11,11,cha11           ,.764E-04,.00,.764E-04,.245E-02,.156E-06,.780E-07,.780E-07,.00,.780E-07,.00,.00,.00,253.,4.41,.150E-02,.00,.00,.00,.299E-04,.00,.299E-04
